2025-11-18 17:09:48,636 | INFO | utils.driver_manager | Starting Appium session on http://127.0.0.1:4723
2025-11-18 17:09:48,675 | INFO | utils.driver_manager | Loading capabilities from /Users/medha/mobile_automation_framework/config/capabilities.json
2025-11-18 17:09:48,675 | INFO | utils.driver_manager | Starting Appium session on http://127.0.0.1:4723
2025-11-18 17:09:48,714 | INFO | utils.driver_manager | Loading capabilities from /Users/medha/mobile_automation_framework/config/capabilities.json
2025-11-18 17:09:48,714 | INFO | utils.driver_manager | Starting Appium session on http://127.0.0.1:4723
2025-11-18 17:09:48,758 | INFO | utils.driver_manager | Loading capabilities from /Users/medha/mobile_automation_framework/config/capabilities.json
2025-11-18 17:09:48,759 | INFO | utils.driver_manager | Starting Appium session on http://127.0.0.1:4723
2025-11-18 17:09:48,798 | INFO | utils.driver_manager | Loading capabilities from /Users/medha/mobile_automation_framework/config/capabilities.json
2025-11-18 17:09:48,798 | INFO | utils.driver_manager | Starting Appium session on http://127.0.0.1:4723
2025-11-18 17:09:48,838 | INFO | utils.driver_manager | Loading capabilities from /Users/medha/mobile_automation_framework/config/capabilities.json
2025-11-18 17:09:48,838 | INFO | utils.driver_manager | Starting Appium session on http://127.0.0.1:4723
2025-11-18 17:10:35,691 | INFO | utils.driver_manager | Loading capabilities from /Users/medha/mobile_automation_framework/config/capabilities.json
2025-11-18 17:10:35,692 | INFO | utils.driver_manager | Starting Appium session on http://127.0.0.1:4723
2025-11-18 17:10:38,844 | INFO | utils.driver_manager | Driver started with implicit wait set to 10s
2025-11-18 17:10:38,846 | INFO | LoginPage | Attempting login with username=standard_user
2025-11-18 17:10:39,739 | INFO | utils.helpers | Typing into element ('accessibility id', 'test-Username')
2025-11-18 17:10:40,837 | INFO | utils.helpers | Typing into element ('accessibility id', 'test-Password')
2025-11-18 17:10:43,241 | INFO | utils.helpers | Tapping on element ('accessibility id', 'test-LOGIN')
2025-11-18 17:10:44,595 | INFO | utils.driver_manager | Driver session quit successfully
2025-11-18 17:10:44,596 | INFO | utils.driver_manager | Loading capabilities from /Users/medha/mobile_automation_framework/config/capabilities.json
2025-11-18 17:10:44,596 | INFO | utils.driver_manager | Starting Appium session on http://127.0.0.1:4723
2025-11-18 17:10:46,731 | INFO | utils.driver_manager | Driver started with implicit wait set to 10s
2025-11-18 17:10:46,731 | INFO | LoginPage | Attempting login with username=locked_out_user
2025-11-18 17:10:47,652 | INFO | utils.helpers | Typing into element ('accessibility id', 'test-Username')
2025-11-18 17:10:49,221 | INFO | utils.helpers | Typing into element ('accessibility id', 'test-Password')
2025-11-18 17:10:50,789 | INFO | utils.helpers | Tapping on element ('accessibility id', 'test-LOGIN')
2025-11-18 17:11:01,005 | WARNING | LoginPage | Primary locator ('accessibility id', 'test-Error') failed for action 'visibility check'. Attempting AI fallback.
2025-11-18 17:11:11,078 | INFO | AILocatorFallback | AI fallback resolved 'visibility check' to ('accessibility id', 'test-Error message') (score 0.79)
2025-11-18 17:11:11,079 | INFO | LoginPage | Retrying action 'visibility check' using fallback locator ('accessibility id', 'test-Error message')
2025-11-18 17:11:31,657 | ERROR | LoginPage | Failed to get text on locator ('accessibility id', 'test-Error'): Message: 
Stacktrace:
NoSuchElementError: An element could not be located on the page using the given search parameters.
    at AndroidUiautomator2Driver.findElOrEls (/Users/medha/.appium/node_modules/appium-uiautomator2-driver/node_modules/appium-android-driver/lib/commands/find.ts:86:11)
    at processTicksAndRejections (node:internal/process/task_queues:105:5)
    at AndroidUiautomator2Driver.findElOrElsWithProcessing (/opt/homebrew/lib/node_modules/appium/node_modules/@appium/base-driver/lib/basedriver/commands/find.ts:60:12)
    at AndroidUiautomator2Driver.findElement (/opt/homebrew/lib/node_modules/appium/node_modules/@appium/base-driver/lib/basedriver/commands/find.ts:75:12)
2025-11-18 17:11:31,820 | INFO | utils.helpers | Screenshot saved at /Users/medha/mobile_automation_framework/reports/screenshots/get_text_failure_1763514691659.png
2025-11-18 17:11:31,827 | ERROR | tests.conftest | Test test_login_negative_locked_out_user failed. Capturing screenshot.
2025-11-18 17:11:31,975 | INFO | utils.helpers | Screenshot saved at /Users/medha/mobile_automation_framework/reports/screenshots/test_login_negative_locked_out_user_1763514691827.png
2025-11-18 17:11:32,543 | INFO | utils.driver_manager | Driver session quit successfully
2025-11-18 17:11:32,550 | INFO | utils.driver_manager | Loading capabilities from /Users/medha/mobile_automation_framework/config/capabilities.json
2025-11-18 17:11:32,553 | INFO | utils.driver_manager | Starting Appium session on http://127.0.0.1:4723
2025-11-18 17:11:34,798 | INFO | utils.driver_manager | Driver started with implicit wait set to 10s
2025-11-18 17:11:34,799 | INFO | LoginPage | Attempting login with username=standard_user
2025-11-18 17:11:35,721 | INFO | utils.helpers | Typing into element ('accessibility id', 'test-Username')
2025-11-18 17:11:36,807 | INFO | utils.helpers | Typing into element ('accessibility id', 'test-Password')
2025-11-18 17:11:38,841 | INFO | utils.helpers | Tapping on element ('accessibility id', 'test-LOGIN')
2025-11-18 17:11:39,931 | INFO | HomePage | Attempting logout
2025-11-18 17:11:39,957 | INFO | utils.helpers | Tapping on element ('accessibility id', 'test-Menu')
2025-11-18 17:12:01,020 | WARNING | HomePage | Primary locator ('accessibility id', 'test-Logout') failed for action 'click'. Attempting AI fallback.
2025-11-18 17:12:11,113 | INFO | AILocatorFallback | AI fallback resolved 'click' to ('accessibility id', 'test-LOGOUT') (score 1.00)
2025-11-18 17:12:11,114 | INFO | HomePage | Retrying action 'click' using fallback locator ('accessibility id', 'test-LOGOUT')
2025-11-18 17:12:11,133 | INFO | utils.helpers | Tapping on element ('accessibility id', 'test-LOGOUT')
2025-11-18 17:12:13,131 | INFO | utils.driver_manager | Driver session quit successfully
2025-11-18 17:12:13,132 | INFO | utils.driver_manager | Loading capabilities from /Users/medha/mobile_automation_framework/config/capabilities.json
2025-11-18 17:12:13,133 | INFO | utils.driver_manager | Starting Appium session on http://127.0.0.1:4723
2025-11-18 17:12:15,428 | INFO | utils.driver_manager | Driver started with implicit wait set to 10s
2025-11-18 17:12:15,428 | INFO | LoginPage | Attempting login with username=standard_user
2025-11-18 17:12:16,353 | INFO | utils.helpers | Typing into element ('accessibility id', 'test-Username')
2025-11-18 17:12:17,443 | INFO | utils.helpers | Typing into element ('accessibility id', 'test-Password')
2025-11-18 17:12:19,473 | INFO | utils.helpers | Tapping on element ('accessibility id', 'test-LOGIN')
2025-11-18 17:12:20,598 | INFO | utils.helpers | Tapping on element ('accessibility id', 'test-ADD TO CART')
2025-11-18 17:12:41,229 | WARNING | ProductsPage | Primary locator ('accessibility id', 'test-Cart badge') failed for action 'visibility check'. Attempting AI fallback.
2025-11-18 17:12:51,318 | INFO | AILocatorFallback | AI fallback resolved 'cart badge' to ('accessibility id', 'test-Cart') (score 0.83)
2025-11-18 17:12:51,318 | INFO | ProductsPage | Retrying action 'visibility check' using fallback locator ('accessibility id', 'test-Cart')
2025-11-18 17:12:51,351 | INFO | utils.helpers | Tapping on element ('accessibility id', 'test-Cart')
2025-11-18 17:12:51,832 | INFO | utils.driver_manager | Driver session quit successfully
2025-11-18 17:12:51,833 | INFO | utils.driver_manager | Loading capabilities from /Users/medha/mobile_automation_framework/config/capabilities.json
2025-11-18 17:12:51,835 | INFO | utils.driver_manager | Starting Appium session on http://127.0.0.1:4723
2025-11-18 17:12:54,173 | INFO | utils.driver_manager | Driver started with implicit wait set to 10s
2025-11-18 17:12:54,173 | INFO | LoginPage | Attempting login with username=standard_user
2025-11-18 17:12:55,118 | INFO | utils.helpers | Typing into element ('accessibility id', 'test-Username')
2025-11-18 17:12:56,203 | INFO | utils.helpers | Typing into element ('accessibility id', 'test-Password')
2025-11-18 17:12:58,239 | INFO | utils.helpers | Tapping on element ('accessibility id', 'test-LOGIN')
2025-11-18 17:12:59,379 | INFO | utils.helpers | Tapping on element ('accessibility id', 'test-ADD TO CART')
2025-11-18 17:13:00,173 | INFO | utils.helpers | Tapping on element ('accessibility id', 'test-Cart')
2025-11-18 17:13:01,181 | ERROR | tests.conftest | Test test_remove_item_from_cart failed. Capturing screenshot.
2025-11-18 17:13:01,344 | INFO | utils.helpers | Screenshot saved at /Users/medha/mobile_automation_framework/reports/screenshots/test_remove_item_from_cart_1763514781182.png
2025-11-18 17:13:01,535 | INFO | utils.driver_manager | Driver session quit successfully
2025-11-18 17:13:01,536 | INFO | utils.driver_manager | Loading capabilities from /Users/medha/mobile_automation_framework/config/capabilities.json
2025-11-18 17:13:01,537 | INFO | utils.driver_manager | Starting Appium session on http://127.0.0.1:4723
2025-11-18 17:13:03,751 | INFO | utils.driver_manager | Driver started with implicit wait set to 10s
2025-11-18 17:13:03,752 | INFO | LoginPage | Attempting login with username=standard_user
2025-11-18 17:13:04,667 | INFO | utils.helpers | Typing into element ('accessibility id', 'test-Username')
2025-11-18 17:13:05,761 | INFO | utils.helpers | Typing into element ('accessibility id', 'test-Password')
2025-11-18 17:13:07,793 | INFO | utils.helpers | Tapping on element ('accessibility id', 'test-LOGIN')
2025-11-18 17:13:08,907 | INFO | utils.helpers | Tapping on element ('accessibility id', 'test-Item title')
2025-11-18 17:13:09,924 | ERROR | tests.conftest | Test test_product_details_information failed. Capturing screenshot.
2025-11-18 17:13:10,190 | INFO | utils.helpers | Screenshot saved at /Users/medha/mobile_automation_framework/reports/screenshots/test_product_details_information_1763514789924.png
2025-11-18 17:13:10,364 | INFO | utils.driver_manager | Driver session quit successfully
2025-11-18 17:13:10,364 | INFO | utils.driver_manager | Loading capabilities from /Users/medha/mobile_automation_framework/config/capabilities.json
2025-11-18 17:13:10,366 | INFO | utils.driver_manager | Starting Appium session on http://127.0.0.1:4723
2025-11-18 17:13:12,596 | INFO | utils.driver_manager | Driver started with implicit wait set to 10s
2025-11-18 17:13:12,597 | INFO | LoginPage | Attempting login with username=standard_user
2025-11-18 17:13:13,517 | INFO | utils.helpers | Typing into element ('accessibility id', 'test-Username')
2025-11-18 17:13:14,611 | INFO | utils.helpers | Typing into element ('accessibility id', 'test-Password')
2025-11-18 17:13:16,634 | INFO | utils.helpers | Tapping on element ('accessibility id', 'test-LOGIN')
2025-11-18 17:13:17,745 | INFO | utils.helpers | Tapping on element ('accessibility id', 'test-ADD TO CART')
2025-11-18 17:13:18,474 | INFO | utils.helpers | Tapping on element ('accessibility id', 'test-Cart')
2025-11-18 17:13:19,543 | INFO | utils.helpers | Tapping on element ('accessibility id', 'test-CHECKOUT')
2025-11-18 17:13:20,545 | INFO | utils.helpers | Typing into element ('accessibility id', 'test-First Name')
2025-11-18 17:13:22,112 | INFO | utils.helpers | Typing into element ('accessibility id', 'test-Last Name')
2025-11-18 17:13:23,661 | INFO | utils.helpers | Typing into element ('accessibility id', 'test-Zip/Postal Code')
2025-11-18 17:13:25,213 | INFO | utils.helpers | Tapping on element ('accessibility id', 'test-CONTINUE')
2025-11-18 17:13:45,887 | WARNING | CheckoutPage | Primary locator ('accessibility id', 'test-FINISH') failed for action 'click'. Attempting AI fallback.
2025-11-18 17:13:55,971 | INFO | AILocatorFallback | AI fallback resolved 'checkout finish button' to ('accessibility id', 'test-Menu') (score 0.68)
2025-11-18 17:13:55,972 | INFO | CheckoutPage | Retrying action 'click' using fallback locator ('accessibility id', 'test-Menu')
2025-11-18 17:13:55,990 | INFO | utils.helpers | Tapping on element ('accessibility id', 'test-Menu')
2025-11-18 17:14:16,692 | WARNING | CheckoutPage | Primary locator ('accessibility id', 'test-CHECKOUT: COMPLETE!') failed for action 'visibility check'. Attempting AI fallback.
2025-11-18 17:14:26,778 | INFO | AILocatorFallback | AI fallback resolved 'order complete message' to ('accessibility id', 'test-CHECKOUT: OVERVIEW') (score 0.84)
